model,method,split,slot,metric,value_mean,value_std,n
Llama-3.2-1B-Instruct,RMU,retain,synthetic_contact_token,retain_truth_ratio,0.2476223220806751,0.22798906776534253,9
Llama-3.2-1B-Instruct,RMU,retain,synthetic_private_id,retain_Q_A_Prob,0.8987698985470666,0.18124598312919152,9
Llama-3.2-1B-Instruct,RMU,retain,synthetic_private_id,retain_truth_ratio,0.20079698919987832,0.1692657871765727,9
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,core_themes,exact_memorization,0.9976744174957275,0.007354137600139236,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,core_themes,extraction_strength,0.9790697674418605,0.06618720684073352,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,core_themes,forget_Q_A_Prob,0.9470165073871613,0.049402472560678264,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,core_themes,forget_truth_ratio,11.467223275400917,28.779772293361127,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,genre_and_core_themes,exact_memorization,0.9255743324756622,0.05031041885440784,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,genre_and_core_themes,extraction_strength,0.5076546070253164,0.474636887247081,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,genre_and_core_themes,forget_Q_A_Prob,0.7353391230106354,0.14857021502881587,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,genre_and_core_themes,forget_truth_ratio,1.49654992061878,0.7810954546187752,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,representative_work,exact_memorization,0.974428915977478,0.034783298345247,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,representative_work,extraction_strength,0.9744289044289044,0.03478331436379671,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,representative_work,forget_Q_A_Prob,0.9194476008415222,0.06782179865593378,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,representative_work,forget_truth_ratio,3.907260441305226,4.492015113423929,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,writing_style,exact_memorization,0.9372220933437347,0.05221434044430382,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,writing_style,extraction_strength,0.6298702223702224,0.4325275111759044,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,writing_style,forget_Q_A_Prob,0.8347038745880127,0.1221708300952722,10
Llama-3.2-1B-Instruct,SimNPO_pcgrad,forget,writing_style,forget_truth_ratio,3.8486826505737257,4.378957332349857,10
